Category,Product,Cluster,Total_Price_Bin,Price_Bin,Quantity_Bin
Water,Volvic,2,Very Low,Budget,Very Low
Water,Volvic,2,Very Low,Budget,Low
Water,Vittel,2,Very Low,Budget,Medium
Water,Volvic,2,Very Low,Budget,Medium
Soft Drinks,Sprite,1,Very Low,Budget,Low
Soft Drinks,Mountain Dew,1,Medium,Budget,High
Water,Selters,2,Very Low,Budget,Very Low
Soft Drinks,Pepsi,1,Very Low,Budget,Very Low
Soft Drinks,Mountain Dew,1,Very Low,Budget,Very Low
Water,Apollinaris,2,Low,Budget,Medium
Water,Vittel,2,Very Low,Budget,Low
Water,Selters,2,Very Low,Budget,Medium
Soft Drinks,Mountain Dew,1,Low,Budget,High
Water,Volvic,2,Very Low,Budget,Low
Soft Drinks,Coca-Cola,1,Medium,Budget,High
Soft Drinks,Mountain Dew,1,Medium,Budget,High
Water,Volvic,2,Very Low,Budget,Medium
Soft Drinks,Mezzo Mix,1,High,Budget,Very High
Water,San Pellegrino,2,Low,Budget,Medium
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Very Low
Water,Vittel,2,High,Budget,Very High
Soft Drinks,Sprite,1,Very Low,Budget,Very Low
Water,Volvic,2,Very Low,Budget,Very Low
Water,San Pellegrino,2,Low,Budget,Low
Water,Volvic,2,Medium,Budget,Very High
Alcoholic Beverages,Kölsch,3,Low,Budget,Medium
Water,Volvic,2,Low,Budget,Medium
Water,Selters,2,Very Low,Budget,Very Low
Water,Apollinaris,2,Very Low,Budget,Very Low
Water,Volvic,2,Very Low,Budget,Very Low
Water,San Pellegrino,2,Very Low,Budget,Very Low
Water,San Pellegrino,2,Very Low,Budget,Very Low
Soft Drinks,Sprite,1,Very Low,Budget,Low
Soft Drinks,Mountain Dew,1,Low,Budget,Medium
Water,Gerolsteiner,2,Low,Budget,High
Water,Apollinaris,2,Low,Budget,Medium
Soft Drinks,Sprite,1,Low,Budget,High
Soft Drinks,Schwip Schwap,1,Very Low,Budget,Very Low
Water,Apollinaris,2,Very Low,Budget,Very Low
Water,Apollinaris,2,Low,Budget,Low
Soft Drinks,Pepsi,1,Medium,Budget,High
Water,Volvic,2,Very Low,Budget,Very Low
Water,San Pellegrino,2,Very Low,Budget,Low
Water,Apollinaris,2,High,Budget,Very High
Water,Selters,2,Low,Budget,High
Water,Vittel,2,Low,Budget,High
Water,Vittel,2,Low,Budget,Medium
Water,San Pellegrino,2,Very Low,Budget,Very Low
Water,Volvic Touch,2,Very Low,Budget,Very Low
Water,Evian,2,Low,Budget,Medium
Water,Volvic,2,Low,Budget,High
Soft Drinks,Sprite,1,Very Low,Budget,Low
Soft Drinks,Schwip Schwap,1,Medium,Budget,High
Water,Selters,2,Very Low,Budget,Low
Soft Drinks,Pepsi,1,High,Budget,Very High
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Very Low
Water,Vittel,2,Low,Budget,High
Water,Volvic,2,Low,Budget,High
Water,Volvic Touch,2,High,Budget,Very High
Water,San Pellegrino,2,Low,Budget,High
Water,San Pellegrino,2,Very Low,Budget,Very Low
Soft Drinks,Mountain Dew,1,Very Low,Budget,Very Low
Water,Apollinaris,2,High,Budget,High
Soft Drinks,Pepsi,1,High,Budget,Very High
Soft Drinks,Coca-Cola,1,High,Budget,Very High
Water,Selters,2,Very Low,Budget,Low
Water,San Pellegrino,2,Low,Budget,Low
Soft Drinks,Mountain Dew,1,Low,Budget,High
Water,Selters,2,High,Budget,Very High
Water,Vittel,2,High,Budget,Very High
Water,Gerolsteiner,2,Medium,Budget,Very High
Soft Drinks,Sprite,1,Low,Budget,Medium
Water,Volvic,2,Very Low,Budget,Very Low
Water,Selters,2,Low,Budget,High
Soft Drinks,Sprite,1,Very Low,Budget,Low
Soft Drinks,Mountain Dew,1,Very Low,Budget,Low
Soft Drinks,Mountain Dew,1,Very Low,Budget,Very Low
Water,Apollinaris,2,Low,Budget,Low
Soft Drinks,Sprite,1,Very Low,Budget,Very Low
Water,Selters,2,Very Low,Budget,Very Low
Water,Vittel,2,Very Low,Budget,Very Low
Water,San Pellegrino,2,Low,Budget,High
Water,Evian,2,Very Low,Budget,Very Low
Water,Vittel,2,Very Low,Budget,Very Low
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Medium
Soft Drinks,Fanta,1,Low,Budget,Medium
Water,Vittel,2,Low,Budget,Medium
Soft Drinks,Fanta,1,High,Budget,Very High
Water,Selters,2,Very Low,Budget,Very Low
Water,Selters,2,Medium,Budget,Very High
Soft Drinks,Mountain Dew,1,High,Budget,Very High
Water,San Pellegrino,2,Very Low,Budget,Very Low
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Medium
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Low
Water,Evian,2,Medium,Budget,High
Water,Gerolsteiner,2,High,Budget,Very High
Water,Volvic,2,Very Low,Budget,High
Soft Drinks,Mountain Dew,1,Medium,Budget,Very High
Water,Volvic,2,Medium,Budget,High
Water,Volvic,2,Very Low,Budget,Very Low
Water,Selters,2,Very Low,Budget,Low
Water,Apollinaris,2,Very Low,Budget,Low
Water,Apollinaris,2,Very Low,Budget,Low
Water,Vittel,2,Very Low,Budget,Medium
Water,Vittel,2,High,Budget,Very High
Water,Selters,2,Low,Budget,High
Soft Drinks,Sprite,1,Very Low,Budget,Very Low
Water,Vittel,2,Low,Budget,Medium
Soft Drinks,Sprite,1,Very Low,Budget,Low
Soft Drinks,Mountain Dew,1,Very Low,Budget,Very Low
Water,Vittel,2,High,Budget,Very High
Water,Vittel,2,High,Budget,Very High
Soft Drinks,Mountain Dew,1,Very Low,Budget,Low
Soft Drinks,Schwip Schwap,1,High,Budget,Very High
Water,Evian,2,High,Budget,Very High
Soft Drinks,Sprite,1,Very Low,Budget,Very Low
Water,Apollinaris,2,Medium,Budget,High
Water,Volvic,2,High,Budget,Very High
Water,Selters,2,Very Low,Budget,Medium
Water,Volvic,2,Very Low,Budget,Low
Water,Apollinaris,2,Medium,Budget,High
Water,Apollinaris,2,Low,Budget,Medium
Water,San Pellegrino,2,Low,Budget,High
Water,San Pellegrino,2,Low,Budget,Low
Water,Apollinaris,2,Very Low,Budget,Very Low
Water,Selters,2,Very Low,Budget,Low
Water,Selters,2,Very Low,Budget,Very Low
Water,Volvic,2,Very Low,Budget,Very Low
Soft Drinks,Mountain Dew,1,Low,Budget,Low
Water,San Pellegrino,2,Very Low,Budget,Low
Water,Selters,2,Very Low,Budget,Very Low
Soft Drinks,Mezzo Mix,1,Low,Budget,Medium
Soft Drinks,Mezzo Mix,1,Low,Budget,Medium
Water,Vittel,2,Very Low,Budget,Low
Water,San Pellegrino,2,Low,Budget,Medium
Water,Volvic,2,Very Low,Budget,Very Low
Water,Volvic,2,High,Budget,Very High
Water,Vittel,2,Low,Budget,High
Water,Vittel,2,Very Low,Budget,Low
Water,Volvic Touch,2,Medium,Budget,High
Soft Drinks,Mountain Dew,1,Low,Budget,High
Soft Drinks,Mountain Dew,1,Very Low,Budget,Very Low
Alcoholic Beverages,Kölsch,3,Very Low,Budget,Low
Soft Drinks,Mountain Dew,1,Very Low,Budget,Very Low
Water,Apollinaris,2,Very Low,Budget,Very Low
Soft Drinks,Fanta,1,Low,Budget,High
Water,San Pellegrino,2,Very Low,Budget,Very Low
Water,San Pellegrino,2,Very Low,Budget,Very Low
Water,Selters,2,Very Low,Budget,Very Low
Soft Drinks,Mezzo Mix,1,Low,Budget,High
Soft Drinks,Fanta,1,Medium,Budget,High
Water,Volvic,2,Very Low,Budget,Low
Water,Selters,2,Very Low,Budget,Medium
Water,Volvic,2,Very Low,Budget,Very Low
Water,Selters,2,Low,Budget,High
Water,Volvic,2,High,Budget,Very High
Water,Apollinaris,2,Low,Budget,Low
Soft Drinks,Sprite,1,Low,Budget,High
Water,Volvic,2,Low,Budget,Medium
Water,San Pellegrino,2,Very Low,Budget,Very Low
Alcoholic Beverages,Warsteiner,3,High,Budget,High
Soft Drinks,Sprite,1,Very Low,Budget,Very Low
Water,Volvic Touch,2,High,Budget,Very High
Water,Apollinaris,2,Very Low,Budget,Very Low
Water,Volvic,2,Medium,Budget,High
Water,Apollinaris,2,Low,Budget,Medium
Soft Drinks,Sprite,1,Low,Budget,High
Water,Apollinaris,2,Very Low,Budget,Very Low
Water,Gerolsteiner,2,Low,Budget,High
Water,Apollinaris,2,Low,Budget,High
Water,San Pellegrino,2,Low,Budget,Medium
Soft Drinks,Schwip Schwap,1,Medium,Budget,High
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Low
Water,Volvic,2,Very Low,Budget,Low
Water,Volvic,2,Very Low,Budget,Medium
Alcoholic Beverages,Jever,3,High,Budget,Very High
Soft Drinks,Fanta,1,High,Budget,Very High
Water,Selters,2,Very Low,Budget,Very Low
Soft Drinks,Mezzo Mix,1,Low,Budget,Medium
Water,Apollinaris,2,Low,Budget,Medium
Water,Vio Wasser,2,High,Budget,Very High
Soft Drinks,Mountain Dew,1,Medium,Budget,High
Water,Apollinaris,2,Very Low,Budget,Very Low
Water,Vittel,2,Very Low,Budget,Very Low
Water,San Pellegrino,2,Very Low,Budget,Very Low
Water,Volvic,2,Low,Budget,Medium
Soft Drinks,Mezzo Mix,1,Low,Budget,Medium
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Low
Water,Volvic,2,Very Low,Budget,Very Low
Soft Drinks,Mountain Dew,1,High,Budget,Very High
Water,Evian,2,High,Budget,Very High
Water,San Pellegrino,2,Very Low,Budget,Very Low
Water,San Pellegrino,2,Low,Budget,High
Water,Vittel,2,Low,Budget,Medium
Water,Apollinaris,2,Medium,Budget,Very High
Water,Volvic,2,Low,Budget,High
Water,Selters,2,Low,Budget,High
Water,Vittel,2,Very Low,Budget,Low
Water,Volvic,2,Very Low,Budget,Low
Water,Vittel,2,Low,Budget,Medium
Soft Drinks,Sprite,1,Very Low,Budget,Very Low
Water,Vio Wasser,2,Medium,Budget,High
Water,Volvic,2,Very Low,Budget,Very Low
Water,Apollinaris,2,Very Low,Budget,Very Low
Soft Drinks,Sprite,1,Very Low,Budget,Medium
Water,Selters,2,Very Low,Budget,Very Low
Water,Volvic,2,High,Budget,Very High
Soft Drinks,Sprite,1,Very Low,Budget,Low
Soft Drinks,Sprite,1,Very Low,Budget,Very Low
Water,Vittel,2,High,Budget,Very High
Water,Vittel,2,Very Low,Budget,Low
Water,Apollinaris,2,Low,Budget,High
Water,Gerolsteiner,2,Low,Budget,High
Water,Apollinaris,2,High,Budget,Very High
Water,Vittel,2,Low,Budget,High
Soft Drinks,Sprite,1,Very Low,Budget,Low
Water,Volvic,2,Very Low,Budget,Very Low
Water,San Pellegrino,2,Low,Budget,Low
Water,Volvic,2,Very Low,Budget,Low
Soft Drinks,Mezzo Mix,1,Low,Budget,High
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Very Low
Water,San Pellegrino,2,Low,Budget,Medium
Water,San Pellegrino,2,Very Low,Budget,Very Low
Water,Vittel,2,Very Low,Budget,Low
Water,Gerolsteiner,2,High,Budget,Very High
Water,San Pellegrino,2,Very Low,Budget,Low
Water,Selters,2,Very Low,Budget,Very Low
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Very Low
Soft Drinks,Coca-Cola,1,Medium,Budget,High
Water,Vittel,2,Low,Budget,High
Water,Selters,2,Very Low,Budget,Medium
Alcoholic Beverages,Kölsch,3,Low,Budget,High
Soft Drinks,Coca-Cola,1,High,Budget,Very High
Water,Selters,2,High,Budget,Very High
Water,Vittel,2,High,Budget,Very High
Water,Vittel,2,High,Budget,Very High
Water,San Pellegrino,2,Low,Budget,Low
Soft Drinks,Sprite,1,Medium,Budget,Very High
Soft Drinks,Mountain Dew,1,Low,Budget,Medium
Soft Drinks,Sprite,1,Very Low,Budget,Very Low
Water,San Pellegrino,2,Low,Budget,High
Soft Drinks,Sprite,1,Very Low,Budget,Very Low
Water,Volvic,2,Very Low,Budget,Very Low
Water,Selters,2,Very Low,Budget,Very Low
Water,Volvic,2,Very Low,Budget,Very Low
Water,Vittel,2,High,Budget,Very High
Water,Selters,2,Very Low,Budget,Low
Water,Volvic,2,Very Low,Budget,Low
Alcoholic Beverages,Kölsch,3,Low,Budget,Medium
Water,Volvic,2,Very Low,Budget,Low
Water,Volvic,2,Low,Budget,High
Water,Selters,2,Very Low,Budget,Very Low
Water,Vittel,2,Very Low,Budget,Very Low
Water,San Pellegrino,2,Very Low,Budget,Low
Soft Drinks,Coca-Cola,1,Low,Budget,High
Water,San Pellegrino,2,Very Low,Budget,Low
Water,Apollinaris,2,Low,Budget,Medium
Water,Vittel,2,Low,Budget,Very High
Water,Selters,2,Very Low,Budget,Very Low
Alcoholic Beverages,Kölsch,3,Low,Budget,Low
Water,Volvic,2,Low,Budget,Medium
Alcoholic Beverages,Kölsch,3,Very Low,Budget,Very Low
Water,Selters,2,Very Low,Budget,Medium
Soft Drinks,Sprite,1,Very Low,Budget,Low
Soft Drinks,Mountain Dew,1,Low,Budget,Medium
Water,Selters,2,Very Low,Budget,Very Low
Water,Gerolsteiner,2,Medium,Budget,High
Soft Drinks,Mezzo Mix,1,Very Low,Budget,Low
Soft Drinks,Mountain Dew,1,Low,Budget,Low
Soft Drinks,Coca-Cola,1,Low,Budget,High
Water,Volvic,2,Low,Budget,High
Water,Apollinaris,2,Medium,Budget,Very High
Soft Drinks,Schwip Schwap,1,Medium,Budget,High
Soft Drinks,Fanta,1,Very Low,Budget,Low
Water,San Pellegrino,2,Low,Budget,Low
Water,Volvic Touch,2,High,Budget,Very High
Water,Apollinaris,2,Very Low,Budget,Very Low
Soft Drinks,Fritz-Kola,1,Low,Standard,Low
Juices,Granini Apple,0,Low,Standard,Very Low
Juices,Rauch Multivitamin,0,High,Standard,High
Water,Volvic Touch,2,Very High,Standard,Very High
Alcoholic Beverages,Erdinger Weißbier,3,Medium,Standard,Medium
Soft Drinks,Fritz-Kola,1,High,Standard,High
Juices,Hohes C Orange,0,Medium,Standard,Medium
Water,San Pellegrino,2,Very High,Standard,Very High
Soft Drinks,Monster,1,Very Low,Standard,Very Low
Water,Vio Wasser,2,Low,Standard,Low
Soft Drinks,Rockstar,1,Medium,Standard,Low
Juices,Hohes C Orange,0,Low,Standard,Low
Water,Volvic Touch,2,Low,Standard,Low
Juices,Granini Apple,0,Medium,Standard,Medium
Juices,Granini Apple,0,Medium,Standard,Medium
Water,Vio Wasser,2,Very Low,Standard,Very Low
Soft Drinks,Fritz-Kola,1,Low,Standard,Very Low
Alcoholic Beverages,Erdinger Weißbier,3,Very Low,Standard,Very Low
Alcoholic Beverages,Kölsch,3,High,Standard,Very High
Water,Volvic Touch,2,Low,Standard,Very Low
Juices,Hohes C Orange,0,Very Low,Standard,Very Low
Juices,Hohes C Orange,0,Medium,Standard,Medium
Alcoholic Beverages,Krombacher,3,Medium,Standard,High
Water,Vio Wasser,2,Medium,Standard,Medium
Water,Vio Wasser,2,Low,Standard,Low
Alcoholic Beverages,Krombacher,3,Low,Standard,Low
Juices,Granini Apple,0,Very Low,Standard,Very Low
Juices,Granini Apple,0,Very High,Standard,Very High
Soft Drinks,Mezzo Mix,1,Very High,Standard,Very High
Juices,Hohes C Orange,0,Medium,Standard,Medium
Juices,Granini Apple,0,Medium,Standard,High
Juices,Hohes C Orange,0,Medium,Standard,High
Juices,Rauch Multivitamin,0,High,Standard,Very High
Water,Vio Wasser,2,Very Low,Standard,Very Low
Soft Drinks,Club Mate,1,Medium,Standard,Medium
Alcoholic Beverages,Beck's,3,Medium,Standard,Medium
Juices,Hohes C Orange,0,Medium,Standard,Medium
Alcoholic Beverages,Jever,3,Medium,Standard,High
Juices,Granini Apple,0,Low,Standard,Very Low
Juices,Hohes C Orange,0,Medium,Standard,Medium
Soft Drinks,Red Bull,1,High,Standard,High
Soft Drinks,Rockstar,1,Very Low,Standard,Very Low
Juices,Cranberry Juice,0,High,Standard,High
Juices,Hohes C Orange,0,Medium,Standard,Low
Juices,Granini Apple,0,Low,Standard,Very Low
Juices,Granini Apple,0,Medium,Standard,High
Water,Volvic Touch,2,Low,Standard,Low
Juices,Granini Apple,0,Low,Standard,Low
Soft Drinks,Fritz-Kola,1,Very Low,Standard,Very Low
Water,Vio Wasser,2,Low,Standard,Very Low
Juices,Rauch Multivitamin,0,Very High,Standard,Very High
Soft Drinks,Club Mate,1,Low,Standard,Low
Alcoholic Beverages,Erdinger Weißbier,3,Very Low,Standard,Very Low
Juices,Hohes C Orange,0,Low,Standard,Low
Juices,Hohes C Orange,0,High,Standard,High
Water,Volvic Touch,2,Medium,Standard,Medium
Soft Drinks,Club Mate,1,High,Standard,High
Water,Volvic Touch,2,Low,Standard,Low
Water,Vio Wasser,2,Medium,Standard,Medium
Juices,Hohes C Orange,0,Very Low,Standard,Very Low
Water,Gerolsteiner,2,Very High,Standard,Very High
Alcoholic Beverages,Krombacher,3,Very Low,Standard,Very Low
Soft Drinks,Club Mate,1,Low,Standard,Very Low
Juices,Hohes C Orange,0,High,Standard,Very High
Alcoholic Beverages,Jever,3,Medium,Standard,Medium
Juices,Granini Apple,0,Medium,Standard,Medium
Juices,Passion Fruit Juice,0,Very High,Standard,Very High
Juices,Granini Apple,0,Very Low,Standard,Very Low
Juices,Granini Apple,0,Low,Standard,Low
Alcoholic Beverages,Krombacher,3,Low,Standard,Low
Juices,Hohes C Orange,0,Medium,Standard,Medium
Alcoholic Beverages,Krombacher,3,Medium,Standard,High
Soft Drinks,Club Mate,1,High,Standard,High
Soft Drinks,Rockstar,1,Very High,Standard,Very High
Soft Drinks,Schwip Schwap,1,High,Standard,Very High
Soft Drinks,Fritz-Kola,1,Medium,Standard,Low
Juices,Granini Apple,0,High,Standard,High
Juices,Hohes C Orange,0,Medium,Standard,Medium
Juices,Granini Apple,0,Very Low,Standard,Very Low
Alcoholic Beverages,Krombacher,3,Very Low,Standard,Very Low
Soft Drinks,Club Mate,1,Very High,Standard,Very High
Soft Drinks,Pepsi,1,Low,Standard,Very Low
Alcoholic Beverages,Kölsch,3,Very High,Standard,Very High
Juices,Hohes C Orange,0,Very Low,Standard,Very Low
Water,Volvic Touch,2,Low,Standard,Low
Alcoholic Beverages,Krombacher,3,Very Low,Standard,Very Low
Alcoholic Beverages,Jever,3,Medium,Standard,High
Water,Vio Wasser,2,Medium,Standard,Medium
Water,Volvic Touch,2,Very High,Standard,Very High
Water,Volvic Touch,2,Medium,Standard,Medium
Soft Drinks,Club Mate,1,High,Standard,High
Alcoholic Beverages,Erdinger Weißbier,3,Low,Standard,Very Low
Soft Drinks,Fritz-Kola,1,Medium,Standard,Medium
Juices,Granini Apple,0,Medium,Standard,Low
Soft Drinks,Fritz-Kola,1,Very Low,Standard,Very Low
Water,Volvic Touch,2,Medium,Standard,Medium
Soft Drinks,Fritz-Kola,1,Very Low,Standard,Very Low
Juices,Granini Apple,0,Medium,Standard,High
Alcoholic Beverages,Krombacher,3,Very Low,Standard,Very Low
Soft Drinks,Rockstar,1,High,Standard,Very High
Alcoholic Beverages,Beck's,3,Low,Standard,Very Low
Soft Drinks,Fritz-Kola,1,High,Standard,High
Juices,Granini Apple,0,Low,Standard,Low
Water,Vio Wasser,2,Very Low,Standard,Very Low
Juices,Rauch Multivitamin,0,High,Standard,High
Juices,Hohes C Orange,0,Low,Standard,Very Low
Alcoholic Beverages,Beck's,3,Medium,Standard,Medium
Alcoholic Beverages,Krombacher,3,Very Low,Standard,Very Low
Juices,Hohes C Orange,0,Low,Standard,Low
Soft Drinks,Pepsi,1,Medium,Standard,Medium
Soft Drinks,Club Mate,1,High,Standard,High
Soft Drinks,Fritz-Kola,1,Very Low,Standard,Very Low
Juices,Hohes C Orange,0,Very Low,Standard,Very Low
Alcoholic Beverages,Beck's,3,Very Low,Standard,Very Low
Water,Vio Wasser,2,Very Low,Standard,Very Low
Soft Drinks,Fritz-Kola,1,Medium,Standard,Low
Juices,Tomato Juice,0,Very High,Standard,Very High
Juices,Hohes C Orange,0,Very Low,Standard,Very Low
Juices,Granini Apple,0,Very High,Standard,Very High
Juices,Rauch Multivitamin,0,Very Low,Standard,Very Low
Juices,Hohes C Orange,0,Low,Standard,Low
Water,Vio Wasser,2,Very Low,Standard,Very Low
Alcoholic Beverages,Jever,3,Medium,Standard,High
Juices,Granini Apple,0,High,Standard,High
Soft Drinks,Fritz-Kola,1,Medium,Standard,Medium
Juices,Tomato Juice,0,High,Standard,High
Water,Volvic Touch,2,Low,Standard,Low
Juices,Granini Apple,0,Very Low,Standard,Very Low
Water,Volvic Touch,2,Low,Standard,Low
Soft Drinks,Club Mate,1,Very High,Standard,Very High
Juices,Granini Apple,0,Low,Standard,Low
Soft Drinks,Fritz-Kola,1,High,Standard,High
Juices,Hohes C Orange,0,Medium,Standard,Low
Soft Drinks,Rockstar,1,High,Standard,Very High
Soft Drinks,Mountain Dew,1,Very High,Standard,Very High
Soft Drinks,Fritz-Kola,1,Medium,Standard,Low
Alcoholic Beverages,Augustiner,3,Very High,Standard,Very High
Juices,Hohes C Orange,0,Low,Standard,Very Low
Alcoholic Beverages,Krombacher,3,Medium,Standard,Low
Water,Vio Wasser,2,Low,Standard,Low
Juices,Hohes C Orange,0,High,Standard,Very High
Soft Drinks,Rockstar,1,Medium,Standard,Low
Water,Selters,2,Very High,Standard,Very High
Alcoholic Beverages,Jever,3,Very High,Standard,Very High
Soft Drinks,Club Mate,1,Low,Standard,Very Low
Soft Drinks,Pepsi,1,Very Low,Standard,Very Low
Alcoholic Beverages,Krombacher,3,Very Low,Standard,Very Low
Water,Volvic Touch,2,Very High,Standard,Very High
Juices,Granini Apple,0,Low,Standard,Very Low
Water,Volvic Touch,2,Very Low,Standard,Very Low
Juices,Hohes C Orange,0,Medium,Standard,Low
Juices,Granini Apple,0,Medium,Standard,Medium
Alcoholic Beverages,Jever,3,Very High,Standard,Very High
Water,Selters,2,Very High,Standard,Very High
Juices,Granini Apple,0,High,Standard,Very High
Water,Vio Wasser,2,Very Low,Standard,Very Low
Juices,Granini Apple,0,Very Low,Standard,Very Low
Soft Drinks,Fritz-Kola,1,Medium,Standard,Medium
Juices,Tomato Juice,0,High,Standard,High
Juices,Granini Apple,0,Medium,Standard,High
Juices,Hohes C Orange,0,Medium,Standard,High
Juices,Granini Apple,0,Medium,Standard,Medium
Juices,Hohes C Orange,0,Very Low,Standard,Very Low
Juices,Hohes C Orange,0,Medium,Standard,Medium
Alcoholic Beverages,Jever,3,Medium,Standard,High
Soft Drinks,Fritz-Kola,1,Medium,Standard,Medium
Soft Drinks,Fritz-Kola,1,Low,Standard,Very Low
Alcoholic Beverages,Beck's,3,Medium,Standard,High
Water,Vio Wasser,2,Very Low,Standard,Very Low
Juices,Hohes C Orange,0,Low,Standard,Low
Juices,Hohes C Orange,0,Very High,Standard,Very High
Soft Drinks,Club Mate,1,Very Low,Standard,Very Low
Alcoholic Beverages,Beck's,3,Medium,Standard,Medium
Alcoholic Beverages,Beck's,3,Very High,Standard,Very High
Soft Drinks,Pepsi,1,Medium,Standard,Medium
Alcoholic Beverages,Erdinger Weißbier,3,Very Low,Standard,Very Low
Juices,Hohes C Orange,0,Low,Standard,Low
Juices,Granini Apple,0,Low,Standard,Low
Juices,Hohes C Orange,0,Low,Standard,Low
Soft Drinks,Fritz-Kola,1,Low,Standard,Low
Alcoholic Beverages,Jever,3,Very Low,Standard,Very Low
Juices,Hohes C Orange,0,Medium,Standard,Medium
Soft Drinks,Pepsi,1,Low,Standard,Low
Soft Drinks,Fritz-Kola,1,Low,Standard,Low
Juices,Hohes C Orange,0,Medium,Standard,Low
Soft Drinks,Club Mate,1,High,Standard,High
Alcoholic Beverages,Krombacher,3,Very High,Standard,Very High
Soft Drinks,Fanta,1,Very High,Standard,Very High
Soft Drinks,Fritz-Kola,1,Very Low,Standard,Very Low
Juices,Hohes C Orange,0,High,Standard,High
Juices,Hohes C Orange,0,Medium,Standard,Low
Soft Drinks,Club Mate,1,Medium,Standard,Low
Soft Drinks,Pepsi,1,Very Low,Standard,Very Low
Alcoholic Beverages,Krombacher,3,Low,Standard,Very Low
Soft Drinks,Pepsi,1,Low,Standard,Low
Water,Vio Wasser,2,Low,Standard,Very Low
Juices,Granini Apple,0,Medium,Standard,High
Juices,Hohes C Orange,0,Very Low,Standard,Very Low
Juices,Hohes C Orange,0,Low,Standard,Low
Soft Drinks,Fritz-Kola,1,Medium,Standard,Medium
Alcoholic Beverages,Kölsch,3,Very High,Standard,Very High
Water,Volvic Touch,2,High,Standard,Very High
Juices,Rauch Multivitamin,0,Very Low,Standard,Very Low
Soft Drinks,Fritz-Kola,1,Medium,Standard,Medium
Soft Drinks,Fritz-Kola,1,Very Low,Standard,Very Low
Soft Drinks,Club Mate,1,High,Standard,High
Soft Drinks,Pepsi,1,Medium,Standard,Medium
Alcoholic Beverages,Krombacher,3,Very Low,Standard,Very Low
Soft Drinks,Fritz-Kola,1,High,Standard,Very High
Juices,Hohes C Orange,0,Medium,Standard,Medium
Alcoholic Beverages,Erdinger Weißbier,3,High,Standard,Very High
Soft Drinks,Sprite,1,Very High,Standard,Very High
Juices,Hohes C Orange,0,Very Low,Standard,Very Low
Juices,Tomato Juice,0,High,Standard,High
Soft Drinks,Red Bull,1,High,Standard,High
Water,Apollinaris,2,Very High,Standard,Very High
Juices,Hohes C Orange,0,Very Low,Standard,Very Low
Soft Drinks,Fritz-Kola,1,Medium,Standard,Low
Soft Drinks,Red Bull,1,High,Standard,High
Juices,Granini Apple,0,Low,Standard,Very Low
Juices,Hohes C Orange,0,Medium,Standard,High
Juices,Granini Apple,0,Medium,Standard,Low
Alcoholic Beverages,Jever,3,Low,Standard,Very Low
Juices,Tomato Juice,0,Medium,Standard,High
Alcoholic Beverages,Krombacher,3,Medium,Standard,Medium
Soft Drinks,Club Mate,1,High,Standard,High
Juices,Granini Apple,0,Low,Standard,Low
Soft Drinks,Fritz-Kola,1,Medium,Standard,Low
Juices,Hohes C Orange,0,Medium,Standard,Medium
Alcoholic Beverages,Erdinger Weißbier,3,Very Low,Standard,Very Low
Water,Vio Wasser,2,Medium,Standard,Medium
Juices,Rauch Multivitamin,0,Very High,Standard,Very High
Alcoholic Beverages,Erdinger Weißbier,3,Low,Standard,Very Low
Juices,Granini Apple,0,Medium,Standard,Medium
Soft Drinks,Fritz-Kola,1,Medium,Standard,Medium
Juices,Rauch Multivitamin,0,Very High,Standard,Very High
Juices,Granini Apple,0,Medium,Standard,High
Water,Selters,2,High,Standard,Very High
Juices,Hohes C Orange,0,Very Low,Standard,Very Low
Soft Drinks,Monster,1,High,Standard,High
Water,Vio Wasser,2,Low,Standard,Low
Juices,Hohes C Orange,0,Medium,Standard,Medium
Alcoholic Beverages,Krombacher,3,Very Low,Standard,Very Low
Water,Volvic Touch,2,High,Standard,Very High
Water,Vio Wasser,2,Very Low,Standard,Very Low
Alcoholic Beverages,Jever,3,Very Low,Standard,Very Low
Soft Drinks,Fritz-Kola,1,Medium,Standard,Low
Juices,Granini Apple,0,Low,Standard,Very Low
Juices,Hohes C Orange,0,Medium,Standard,Medium
Juices,Hohes C Orange,0,Low,Standard,Low
Soft Drinks,Fritz-Kola,1,Low,Standard,Low
Juices,Granini Apple,0,Medium,Standard,Medium
Alcoholic Beverages,Beck's,3,Very Low,Standard,Very Low
Water,Vio Wasser,2,Very Low,Standard,Very Low
Alcoholic Beverages,Erdinger Weißbier,3,Very High,Standard,Very High
Soft Drinks,Fritz-Kola,1,Low,Standard,Very Low
Soft Drinks,Fritz-Kola,1,Medium,Standard,Low
Water,Volvic Touch,2,Low,Standard,Low
Soft Drinks,Fritz-Kola,1,Very Low,Standard,Very Low
Water,Vio Wasser,2,Low,Standard,Very Low
Alcoholic Beverages,Jever,3,Low,Standard,Very Low
Juices,Granini Apple,0,Medium,Standard,High
